episode/count,episode/length,episode/return,eval/max_return,eval/mean_length,eval/mean_return,eval/min_return,eval/std_return,eval/step,loss/entropy,loss/policy,loss/value,step,time/elapsed_sec,time/fps
3617,77.15384615384616,385.4206902814063,,,,,,,6.457701396942139,-0.07890741952578537,539.2590232849121,189000,184.63078713417053,1023.6645953453818
3630,82.07692307692308,417.3479498584162,,,,,,,,,,190000,185.3110270500183,1025.3032591995513
3643,74.3076923076923,382.65744634526175,,,,,,,6.447078013420105,-0.08059785863151774,454.02344436645507,191000,186.0754635334015,1026.465265076255
3655,82.0,433.34970184807804,,,,,,,,,,192000,186.700457572937,1028.385267481161
3668,81.0,413.2920012786045,,,,,,,6.439180636405945,-0.0822613976430148,396.6943992614746,193000,187.63432121276855,1028.59646760012
3680,79.58333333333333,419.9643148450927,,,,,,,,,,194000,188.5788791179657,1028.7472324970345
3693,78.07692307692308,411.9812870943441,,,,,,,6.432825744152069,-0.08135260166600347,284.8915729522705,195000,189.73296999931335,1027.7602253351417
3706,76.23076923076923,408.46081174602506,,,,,,,,,,196000,190.67027950286865,1027.9525498731498
3718,82.08333333333333,431.43907207735947,,,,,,,6.4343942403793335,-0.08003936111927032,394.8696319580078,197000,191.8109574317932,1027.0528995719756
3731,81.38461538461539,445.7418948445141,,,,,,,,,,198000,192.82205295562744,1026.85350023508
3743,83.33333333333333,464.32175408600943,,,,,,,6.432824015617371,-0.08083340714219958,379.5702163696289,199000,193.61478734016418,1027.8140566318134
3755,83.0,478.3141478126184,,,,,,,,,,200000,194.230229139328,1029.7058335679208
3767,82.16666666666667,476.5148488107347,485.5197190480545,81.2,463.85855897363155,447.2806092045905,10.676572374000855,200000.0,6.431413555145264,-0.07853948876727372,307.2660511016846,201000,195.52800226211548,1027.9857497370072
3779,80.16666666666667,409.2850937552657,,,,,,,,,,202000,196.44550728797913,1028.2749796047933
3792,81.23076923076923,419.31314409805884,,,,,,,6.4284558415412905,-0.08372110911877825,597.0732200622558,203000,197.5816171169281,1027.423517238779
3804,78.08333333333333,415.63183226341334,,,,,,,,,,204000,198.50559401512146,1027.678847098183
3816,83.5,449.4024397281496,,,,,,,6.421291887760162,-0.08160959701053798,384.78201217651366,205000,199.63839626312256,1026.8565758753684
3828,85.75,456.6031095620124,,,,,,,,,,206000,200.55541944503784,1027.1475114959646
3840,78.33333333333333,417.6697995860932,,,,,,,6.4126140713691715,-0.08131354951765388,421.18825912475586,207000,201.66253471374512,1026.467312303851
3852,87.0,463.3834616468011,,,,,,,,,,208000,202.2820267677307,1028.2673321186114
3864,83.83333333333333,497.5018603069693,,,,,,,6.410347473621369,-0.08621767573058606,285.5940254211426,209000,203.14740133285522,1028.8096162133786
3876,82.83333333333333,467.44954730105445,,,,,,,,,,210000,203.77019000053406,1030.5727250853013
3889,80.15384615384616,434.5158422241448,,,,,,,6.412801957130432,-0.08309828829951585,332.025106048584,211000,204.55600547790527,1031.5023482544038
3901,81.25,439.44824294470055,,,,,,,,,,212000,205.57402229309082,1031.2587049435047
3913,83.0,489.47314086377787,,,,,,,6.40623037815094,-0.08311169744702056,334.4359016418457,213000,206.64553117752075,1030.7505746012014
3925,83.0,467.6263967890473,,,,,,,,,,214000,207.56863570213318,1030.984277928656
3937,82.75,444.9629336537064,,,,,,,,,,215000,208.48642897605896,1031.2421823134061
3949,87.0,507.3075385658976,,,,,,,6.395887994766236,-0.08311753060552292,383.8620361328125,216000,209.534649848938,1030.8557565811818
3960,88.18181818181819,503.08730708203564,,,,,,,,,,217000,210.16331911087036,1032.5303241215133
